ax,ay,az,speed,t,vx,vy,vz,x,y,z
2.21573935,-10.10784930,-7.42171508,6.67436863,0.00000000,-0.43167229,5.71840316,3.41477979,0.33353913,0.62827817,0.85617858
2.21603828,-10.10809236,-7.42129197,6.46452381,0.01666667,-0.39428936,5.54979630,3.29155966,0.31641614,0.72565928,0.89500137
2.21631187,-10.10825819,-7.42085007,6.25496243,0.03333333,-0.35685935,5.38125571,3.16848440,0.30263591,0.81589332,0.93069004
2.21655859,-10.10869138,-7.42034965,6.04538189,0.05000000,-0.31941280,5.21238273,3.04560076,0.29227969,0.91872879,0.96134813
2.21675465,-10.10915756,-7.41989370,5.83592006,0.06666667,-0.28205849,5.04335564,2.92283594,0.28871849,1.02084315,0.99153668
2.21691877,-10.10971559,-7.41966176,5.62642744,0.08333333,-0.24480093,4.87408332,2.80001251,0.28938742,1.12572367,1.02930879
2.21711895,-10.11009905,-7.41971366,5.41710768,0.10000000,-0.20745098,4.70485480,2.67700598,0.28463039,1.21824371,1.07735655
2.21729471,-10.11039936,-7.41982512,5.20801570,0.11666670,-0.17014824,4.53562383,2.55393688,0.28307504,1.30371342,1.12554834
2.21746730,-10.11059100,-7.42012636,4.99916940,0.13333330,-0.13284948,4.36645209,2.43066695,0.28172895,1.38071769,1.17982179
2.21761992,-10.11070107,-7.42031546,4.79072442,0.15000000,-0.09560821,4.19734673,2.30741846,0.28304683,1.45081923,1.22656321
2.21778278,-10.11074931,-7.42045478,4.58271945,0.16666670,-0.05834583,4.02831323,2.18417166,0.28277165,1.51513524,1.26862377
2.21793867,-10.11091472,-7.42058962,4.37502068,0.18333330,-0.02109747,3.85915038,2.06090251,0.28338051,1.58389965,1.30807431
2.21805345,-10.11095701,-7.42084905,4.16785486,0.20000000,0.01601694,3.69010509,1.93749375,0.28985124,1.64336246,1.35078930
2.21814904,-10.11090293,-7.42120213,3.96130817,0.21666670,0.05301108,3.52119189,1.81393492,0.29926127,1.69502512,1.39542621
2.21824928,-10.11083847,-7.42174433,3.75536142,0.23333330,0.08993555,3.35234107,1.69010659,0.30842100,1.74375646,1.44639353
2.21834542,-10.11074401,-7.42235850,3.55017986,0.25000000,0.12676531,3.18357937,1.56605557,0.31878031,1.78837510,1.49850619
2.21844127,-10.11065694,-7.42274831,3.34598866,0.26666670,0.16350191,3.01487104,1.44203325,0.33001123,1.83095999,1.53845155
2.21853872,-10.11053899,-7.42299258,3.14300387,0.28333330,0.20014391,2.84625960,1.31803717,0.34206101,1.86925843,1.56985267
2.21868306,-10.11028509,-7.42308972,2.94161348,0.30000000,0.23683792,2.67788867,1.19411469,0.34860567,1.89717372,1.59266088
2.21884214,-10.11002509,-7.42317455,2.74198577,0.31666670,0.27353949,2.50965392,1.07018658,0.35426455,1.92202361,1.61298559
2.21901199,-10.10990017,-7.42349378,2.54426722,0.33333330,0.31025065,2.34138352,0.94602505,0.35962226,1.95178429,1.64202560
2.21918544,-10.10974103,-7.42377773,2.34918848,0.35000000,0.34695671,2.17323415,0.82180343,0.36571419,1.97669048,1.66763461
2.21934957,-10.10966604,-7.42394218,2.15734592,0.36666670,0.38361210,2.00507470,0.69760923,0.37442568,2.00344387,1.68604261
2.21950796,-10.10972318,-7.42416122,1.96955424,0.38333330,0.42020569,1.83681237,0.57331615,0.38533775,2.03475171,1.70516124
2.21966629,-10.10979816,-7.42437057,1.78722980,0.40000000,0.45673712,1.66853629,0.44896348,0.39776037,2.06406647,1.72212507
2.21982884,-10.10988510,-7.42464860,1.61222942,0.41666670,0.49320824,1.50024781,0.32447780,0.41121669,2.09105266,1.74053064
2.22000741,-10.10980821,-7.42473391,1.44748734,0.43333330,0.52965150,1.33216291,0.20007717,0.42414279,2.10563358,1.74858609
2.22022747,-10.10966449,-7.42464860,1.29681233,0.45000000,0.56616348,1.16423170,0.07580032,0.43294467,2.11329893,1.74729075
2.22046737,-10.10958673,-7.42448980,1.16544828,0.46666670,0.60272243,0.99632008,-0.04839063,0.44066404,2.12157253,1.74101374
2.22073151,-10.10954223,-7.42429797,1.06059746,0.48333330,0.63936297,0.82844534,-0.17251170,0.44658871,2.12852073,1.73155073
2.22100514,-10.10959443,-7.42436123,0.99068219,0.50000000,0.67606388,0.66051851,-0.29682338,0.45269907,2.13773036,1.73193332
2.22128966,-10.10983479,-7.42468204,0.96341776,0.51666670,0.71283749,0.49238872,-0.42141411,0.45866558,2.15443472,1.74232542
2.22157489,-10.11005046,-7.42473178,0.98239979,0.53333330,0.74966073,0.32424559,-0.54587814,0.46581022,2.16648872,1.73885778
2.22184664,-10.11025607,-7.42448858,1.04497093,0.55000000,0.78648221,0.15608349,-0.67011039,0.47606996,2.17476263,1.72052781
2.22211519,-10.11049232,-7.42425419,1.14407222,0.56666670,0.82331127,-0.01214204,-0.79429992,0.48793503,2.18161686,1.70095258
2.22239049,-10.11081864,-7.42416698,1.27132732,0.58333330,0.86017193,-0.18051622,-0.91858114,0.49994535,2.19049852,1.68637450
2.22267508,-10.11112785,-7.42390541,1.41906428,0.60000000,0.89707920,-0.34894202,-1.04270409,0.51167429,2.19533630,1.66222264
2.22297581,-10.11142186,-7.42356499,1.58158031,0.61666670,0.93406784,-0.51741415,-1.16670311,0.52204527,2.19629737,1.63277232
2.22328731,-10.11167788,-7.42312658,1.75472470,0.63333330,0.97114406,-0.68589758,-1.29053574,0.53167747,2.19212718,1.59709062
2.22361703,-10.11185345,-7.42244787,1.93549538,0.65000000,1.00835159,-0.85432317,-1.41403725,0.53931751,2.18042428,1.54863562
2.22394915,-10.11213053,-7.42214417,2.12232157,0.66666670,1.04567026,-1.02288396,-1.53770315,0.54698787,2.17162448,1.51516644
2.22428674,-10.11244900,-7.42200496,2.31373803,0.68333330,1.08312239,-1.19154749,-1.66145843,0.55400239,2.16233210,1.48713405
2.22461712,-10.11288213,-7.42200801,2.50880693,0.70000000,1.12068496,-1.36042353,-1.78533617,0.56190851,2.15681221,1.46354310
2.22493381,-10.11335477,-7.42189842,2.70663247,0.71666670,1.15833912,-1.52946847,-1.90914536,0.57138613,2.15086777,1.43287110
2.22523189,-10.11377010,-7.42155338,2.90650260,0.73333330,1.19606323,-1.69858133,-2.03273500,0.58292898,2.13906705,1.38953365
2.22549201,-10.11417825,-7.42120365,3.10810132,0.75000000,1.23378041,-1.86780464,-2.15624338,0.59915998,2.12437857,1.34392027
2.22573585,-10.11465799,-7.42091254,3.31123310,0.76666670,1.27152240,-2.03723831,-2.27972707,0.61691285,2.11141613,1.29884950
2.22595122,-10.11507087,-7.42061990,3.51553012,0.78333330,1.30923967,-2.20674523,-2.40314774,0.63788804,2.09237430,1.25155970
2.22614830,-10.11533032,-7.42030937,3.72071115,0.80000000,1.34693869,-2.37619561,-2.52648809,0.66064652,2.06238838,1.20126662
2.22635773,-10.11549854,-7.41989319,3.92660640,0.81666670,1.38471073,-2.54560889,-2.64965835,0.68078656,2.02506590,1.14394110
2.22656004,-10.11560704,-7.41945467,4.13311288,0.83333330,1.42252616,-2.71499181,-2.77269919,0.70100830,1.98223048,1.08327964
2.22675379,-10.11560845,-7.41900239,4.34007657,0.85000000,1.46038771,-2.88426549,-2.89560788,0.72143287,1.93116727,1.01959081
2.22691615,-10.11562172,-7.41874629,4.54758724,0.86666670,1.49822428,-3.05353826,-3.01857215,0.74526659,1.87866187,0.96231679
2.22715256,-10.11549859,-7.41862485,4.75556582,0.88333330,1.53636472,-3.22263433,-3.14159477,0.75727988,1.81619275,0.90864898
2.22735497,-10.11550861,-7.41862746,4.96408910,0.90000000,1.57458443,-3.39183666,-3.26470649,0.77256774,1.75914169,0.85811032
2.22753185,-10.11550002,-7.41864973,5.17298300,0.91666670,1.61288948,-3.56101534,-3.38784746,0.78968573,1.69880542,0.80599219
2.22765630,-10.11546788,-7.41863259,5.38213502,0.93333330,1.65118055,-3.73016026,-3.51096634,0.81231217,1.63488359,0.74963244
2.22769848,-10.11524624,-7.41876724,5.59142266,0.95000000,1.68930544,-3.89905793,-3.63422642,0.84473458,1.55783808,0.69770625
2.22770274,-10.11507035,-7.41887474,5.80090406,0.96666670,1.72731231,-4.06792497,-3.75750803,0.88080690,1.48105701,0.64214999
