t,speed,omega,q_dynamic,f_parallel,thrust_mag,D_mag,D_mag_signed,L_mag,Cl,Cd,Cd_signed
0.0,5.230438,85.0,0.27457569320163744,-0.011478029342432482,0.0,0.011478029342432482,0.011478029342432482,0.014481559826103626,0.052741594338683674,0.04180278745214157,0.04180278745214157
0.0333333,5.0357403,84.95000005,0.2641344699610762,-0.0119399285601107,0.0,0.0119399285601107,0.0119399285601107,0.013882321917735438,0.05255778210159842,0.04520397720854158,0.04520397720854158
0.05,4.83584505,84.925,0.25390326803970087,-0.012715575079150741,0.0,0.012715575079150741,0.012715575079150741,0.01345073731745137,0.05297583375472026,0.05008039154959796,0.05008039154959796
0.0666666,4.62921988,84.9000001,0.24376244814256087,-0.013708744982631358,0.0,0.013708744982631358,0.013708744982631358,0.013164129511912712,0.054003927234164736,0.05623813301470455,0.05623813301470455
0.0833333,4.41514268,84.87500005,0.2337221267955332,-0.01481315746971244,0.0,0.01481315746971244,0.01481315746971244,0.013001468414485354,0.0556278885219088,0.06337935424775341,0.06337935424775341
0.1,4.19367866,84.85,0.22383436566368117,-0.01592607012395068,0.0,0.01592607012395068,0.01592607012395068,0.012938169985450242,0.057802428805281345,0.07115113926643483,0.07115113926643483
0.1166666,3.96553166,84.8250001,0.2141783837780246,-0.01696505267985237,0.0,0.01696505267985237,0.01696505267985237,0.012941369283639134,0.06042332123045445,0.07920992016372215,0.07920992016372215
0.1333333,3.7319238,84.80000005,0.20484817129320468,-0.017864526813486267,0.0,0.017864526813486267,0.017864526813486267,0.012974596278068023,0.06333762315845688,0.08720862236996146,0.08720862236996146
0.15,3.49439621,84.775,0.1959385122450689,-0.018586627776503353,0.0,0.018586627776503353,0.018586627776503353,0.012990054601765411,0.06629658688802424,0.0948594922128236,0.0948594922128236
0.1666666,3.25458675,84.7500001,0.1875329860677507,-0.019125026844420783,0.0,0.019125026844420783,0.019125026844420783,0.012929206001759726,0.0689436363855943,0.10198220188053432,0.10198220188053432
0.1833333,3.01413309,84.72500005,0.17969926355555618,-0.019489368854871642,0.0,0.019489368854871642,0.019489368854871642,0.012736493981920588,0.07087671774449397,0.10845547426991135,0.10845547426991135
0.2000003,2.77465865,84.69999955,0.17248846262864995,-0.01969532993060673,0.0,0.01969532993060673,0.01969532993060673,0.012367528005444295,0.07170061009860307,0.11418346265285445,0.11418346265285445
0.2166663,2.5377978,84.67500055,0.1659360165425439,-0.019760511729435774,0.0,0.019760511729435774,0.019760511729435774,0.011795909970013225,0.0710870986045932,0.11908512775687506,0.11908512775687506
0.2333333,2.30522261,84.65000005,0.1600624539459048,-0.01970597833925457,0.0,0.01970597833925457,0.01970597833925457,0.01100627552125253,0.06876238149498973,0.12311430853055937,0.12311430853055937
0.2500003,2.07871536,84.62499955,0.15487511682951333,-0.01955308898587942,0.0,0.01955308898587942,0.01955308898587942,0.00998855920703668,0.06449428036933845,0.12625068110459267,0.12625068110459267
0.2666663,1.8604094,84.60000055,0.15037239777636235,-0.01930488504925606,0.0,0.01930488504925606,0.01930488504925606,0.008758007406278164,0.05824212113251858,0.1283805095531347,0.1283805095531347
0.2833333,1.65305503,84.57500005,0.1465457615391115,-0.018946957959152362,0.0,0.018946957959152362,0.018946957959152362,0.007358419496964594,0.05021243480317723,0.12929038520227432,0.12929038520227432
0.3000003,1.46030058,84.54999955,0.1433798644939826,-0.018449551684358318,0.0,0.018449551684358318,0.018449551684358318,0.005895493236830288,0.04111799978076915,0.12867602957689092,0.12867602957689092
0.3166663,1.28714406,84.52500055,0.1408539056798687,-0.01774575460313724,0.0,0.01774575460313724,0.01774575460313724,0.004702166383245599,0.033383287176520574,0.12598695447941366,0.12598695447941366
0.3333333,1.14040696,84.50000005,0.13894292739358347,-0.016715769797953254,0.0,0.016715769797953254,0.016715769797953254,0.004550488010275114,0.032750771094558505,0.12030673393401675,0.12030673393401675
0.3500003,1.0288102,84.47499955,0.13761919266819436,-0.015195454931834322,0.0,0.015195454931834322,0.015195454931834322,0.0058900898549539595,0.04279991577305073,0.1104166841646223,0.1104166841646223
0.3666663,0.96174768,84.45000055,0.13685415962252598,-0.01305602269618521,0.0,0.01305602269618521,0.01305602269618521,0.007993325111122463,0.05840761532692773,0.09540099279551756,0.09540099279551756
0.3833333,0.94592495,84.42500005,0.1366206607793842,-0.010373451487452784,0.0,0.010373451487452784,0.010373451487452784,0.009967708412612781,0.07295901187821578,0.07592886338182693,0.07592886338182693
0.4000003,0.98136469,84.39999955,0.1368939019019058,-0.007511273064355667,0.0,0.007511273064355667,0.007511273064355667,0.011277915534196024,0.082384352973425,0.05486930359935264,0.05486930359935264
0.4166663,1.06090127,84.37500055,0.13765148106694086,-0.004904227631931283,0.0,0.004904227631931283,0.004904227631931283,0.011841302727459086,0.08602379455474642,0.03562785953277411,0.03562785953277411
0.4333333,1.17395944,84.35000005,0.13887333474623959,-0.0027915170441355935,0.0,0.0027915170441355935,0.0027915170441355935,0.011873155150498924,0.08549629179852632,0.02010117384475915,0.02010117384475915
0.4500003,1.31056235,84.32499955,0.1405414047293762,-0.0011964181818340954,0.0,0.0011964181818340954,0.0011964181818340954,0.011635422635675937,0.08278999813671195,0.008512923178318126,0.008512923178318126
0.4666663,1.46297873,84.30000055,0.1426382878005498,-4.484388680152862e-05,0.0,4.484388680152862e-05,4.484388680152862e-05,0.011316472303931378,0.0793368490215974,0.00031438884673260756,0.00031438884673260756
0.4833333,1.6255279,84.27500005,0.14514319348901958,0.000732304255414483,0.000732304255414483,0.0,-0.000732304255414483,0.011021320686447914,0.07593412010244698,,-0.005045391642632443
0.5000003,1.7937572,84.24999955,0.1480246835927486,0.0011557531038317215,0.0011557531038317215,0.0,-0.0011557531038317215,0.010798077948511202,0.07294781982591028,,-0.0078078403937783475
0.5166663,1.96388496,84.22500055,0.15123576607257455,0.0012252032376442188,0.0012252032376442188,0.0,-0.0012252032376442188,0.010672942847990415,0.0705715527824861,,-0.008101279673858841
0.5333333,2.13268284,84.20000005,0.154715501450032,0.0009602468322823521,0.0009602468322823521,0.0,-0.0009602468322823521,0.010672845917270383,0.06898368823577358,,-0.0062065327861958305
0.5500003,2.29744183,84.17499955,0.15839288409376223,0.0003979814573596825,0.0003979814573596825,0.0,-0.0003979814573596825,0.010831800131623787,0.06838564872151577,,-0.0025126220766590337
0.5666663,2.45596717,84.15000055,0.16219188589739503,-0.0004117948074177937,0.0,0.0004117948074177937,0.0004117948074177937,0.011186773480857382,0.06897246073046033,0.002538935934676172,0.002538935934676172
0.5833333,2.60669567,84.12500005,0.1660400501778696,-0.0013957118854294888,0.0,0.0013957118854294888,0.0013957118854294888,0.011769636249618423,0.07088432120449407,0.008405874871359888,0.008405874871359888
0.6000003,2.74883195,84.09999955,0.1698786020427283,-0.002457267242551524,0.0,0.002457267242551524,0.002457267242551524,0.01260380591848503,0.07419301646545742,0.014464842617044057,0.014464842617044057
0.6166663,2.88231315,84.07500055,0.1736679812912516,-0.0035011219901667752,0.0,0.0035011219901667752,0.0035011219901667752,0.013700774268181467,0.07889061740865433,0.020159858853286167,0.020159858853286167
0.6333333,3.00771416,84.05000005,0.17739030554989826,-0.00444207487531007,0.0,0.00444207487531007,0.00444207487531007,0.015058616379928988,0.0848897369743418,0.025041249359935035,0.025041249359935035
0.6500003,3.12618338,84.02499955,0.1810512354686925,-0.005201844089284402,0.0,0.005201844089284402,0.005201844089284402,0.016663456388403473,0.0920372420838019,0.02873133715888897,0.02873133715888897
0.6666663,3.23925136,84.00000055,0.184676429236865,-0.005726262082331693,0.0,0.005726262082331693,0.005726262082331693,0.0184933115794418,0.10013899259294415,0.031007000221924475,0.031007000221924475
0.6833333,3.34851325,83.97500005,0.18830197470180307,-0.0060021364052196095,0.0,0.0060021364052196095,0.0060021364052196095,0.02052352822536223,0.10899263408078168,0.03187505821287671,0.03187505821287671
0.7000003,3.45552991,83.94999955,0.19197052650913451,-0.0060289638794541935,0.0,0.0060289638794541935,0.0060289638794541935,0.022727077469182386,0.11838836868586161,0.03140567455373061,0.03140567455373061
0.7166663,3.56201235,83.92500055,0.19573737074124242,-0.005782486271745779,0.0,0.005782486271745779,0.005782486271745779,0.0250686551715104,0.1280729125796332,0.02954206572739762,0.02954206572739762
0.7333333,3.66990999,83.90000005,0.19967433915244034,-0.005227971630871664,0.0,0.005227971630871664,0.005227971630871664,0.027503176571378688,0.13774016575250328,0.026182491215761057,0.026182491215761057
0.7500003,3.78128983,83.87499955,0.2038665540532546,-0.004347920939724819,0.0,0.004347920939724819,0.004347920939724819,0.029982365854271387,0.14706858608322437,0.02132728911770904,0.02132728911770904
0.7666663,3.89819101,83.85000055,0.20840776631241534,-0.003145554562814767,0.0,0.003145554562814767,0.003145554562814767,0.03245816654610749,0.1557435556285883,0.015093269403882954,0.015093269403882954
0.7833333,4.0225503,83.82500005,0.21339803925448547,-0.0016358766062394298,0.0,0.0016358766062394298,0.0016358766062394298,0.034881775893300944,0.16345874599017785,0.0076658464714785095,0.0076658464714785095
0.8000003,4.15613771,83.79999955,0.21894169030184119,0.00015552247755329027,0.00015552247755329027,0.0,-0.00015552247755329027,0.037204665759361696,0.16992956301776038,,-0.0007103374297461629
0.8166663,4.30057101,83.77500055,0.22514835694010835,0.0022024091557794924,0.0022024091557794924,0.0,-0.0022024091557794924,0.03937417366905528,0.1748810171398639,,-0.009782035213187696
0.8333333,4.45733546,83.75000005,0.23213449950841997,0.004478516032845343,0.004478516032845343,0.0,-0.004478516032845343,0.04133300032073211,0.17805625793779473,,-0.019292763644909654
0.8500003,4.6276978,83.72499955,0.24002010967577328,0.006944316088995622,0.006944316088995622,0.0,-0.006944316088995622,0.043027091086133964,0.17926452556103034,,-0.02893222613045308
0.8666663,4.81256264,83.70000055,0.24892149778370834,0.00954058681280106,0.00954058681280106,0.0,-0.00954058681280106,0.044414186778641715,0.1784264805333683,,-0.03832769325970801
0.8833333,5.01233138,83.67500005,0.25894211920602156,0.012190090519623924,0.012190090519623924,0.0,-0.012190090519623924,0.04547240355010862,0.17560837027802922,,-0.04707650712445567
0.9000003,5.22684295,83.64999955,0.2701652257178696,0.014809360466889108,0.014809360466889108,0.0,-0.014809360466889108,0.0462033965190484,0.1710190362074876,,-0.05481593875576848
0.9166663,5.4554185,83.62500055,0.2826503381072244,0.01732289516339062,0.01732289516339062,0.0,-0.01732289516339062,0.04663040336570414,0.16497557964361867,,-0.06128736756302452
0.9333333,5.69699926,83.60000005,0.2964346111994706,0.01967505074569676,0.01967505074569676,0.0,-0.01967505074569676,0.04678612061724924,0.15782948026189456,,-0.0663723128216544
0.9500003,5.95029128,83.57499955,0.311535802043234,0.021830612887714717,0.021830612887714717,0.0,-0.021830612887714717,0.04670508015556342,0.14991882104478582,,-0.07007417043093214
0.9666663,6.2138903,83.55000055,0.3279556872451978,0.02377228770618224,0.02377228770618224,0.0,-0.02377228770618224,0.04642555397037692,0.1415604478774189,,-0.0724862797955041
0.9833333,6.48640109,83.52500005,0.34568499395227226,0.02549980367636001,0.02549980367636001,0.0,-0.02549980367636001,0.04598773126340626,0.13303363486398734,,-0.07376601276444385
1.0000003,6.7665458,83.49999955,0.36470971402476704,0.02702814234642643,0.02702814234642643,0.0,-0.02702814234642643,0.045429821237205355,0.12456433017882344,,-0.07410864396277358
1.0166663,7.0532298,83.47500055,0.3850164188237098,0.028381803535876264,0.028381803535876264,0.0,-0.028381803535876264,0.04478822622819379,0.11632809417590395,,-0.07371582651614565
1.0333333,7.34556901,83.45000005,0.4065961433546255,0.02958951575758425,0.02958951575758425,0.0,-0.02958951575758425,0.044096258876688915,0.10845223103414679,,-0.07277372459427592
