t,x,y,z,vx,vy,vz,ax,ay,az
0.00000000,0.05991113,1.63034616,1.08666576,0.61528867,1.20652935,-0.01046853,-1.94606366,157.91830055,90.44381017
0.00827957,0.06485296,1.62946541,1.08468611,0.59288916,1.59798546,0.35801453,-2.09792987,135.79059318,81.25606749
0.01655914,0.06968663,1.63655260,1.08612286,0.57048966,1.98944156,0.72649758,-2.24979607,113.66288581,72.06832481
0.02483871,0.07432100,1.65688408,1.09350842,0.54809016,2.38089767,1.09498064,-2.40166228,91.53517844,62.88058213
0.03311828,0.07873577,1.68454206,1.10569866,0.52569065,2.77235378,1.46346370,-2.55352849,69.40747106,53.69283945
0.04139785,0.08294589,1.71255863,1.12096242,0.50329115,3.16380988,1.83194676,-2.70539469,47.27976369,44.50509677
0.04967742,0.08703940,1.74200726,1.13916251,0.48239985,3.51023459,2.16978842,-2.62622041,27.58268666,36.52494511
0.05795699,0.09106962,1.77511385,1.16031902,0.46407228,3.72065669,2.45645938,-2.28767605,12.50919586,29.01724012
0.06623656,0.09484522,1.80951498,1.18322238,0.44831775,3.80950738,2.68409663,-1.87690265,4.27614719,23.27195995
0.07451613,0.09820487,1.84227655,1.20666841,0.43537778,3.83985651,2.86438555,-1.42930473,-0.32085589,18.66880491
0.08279570,0.10144903,1.87382454,1.23109328,0.42655047,3.85464976,3.00821451,-0.84039529,-3.16453457,14.71848771
0.09107527,0.10491359,1.90530328,1.25716110,0.42402729,3.85259859,3.11936034,0.03831044,-3.31734877,11.56974370
0.09935484,0.10845087,1.93657866,1.28431497,0.43108878,3.83310234,3.20302507,1.28327254,-1.31728689,9.07655121
0.10763441,0.11183872,1.96735238,1.31176362,0.45166678,3.81605679,3.26778639,2.86217244,0.58881874,6.65240845
0.11591398,0.11522057,1.99845847,1.33940458,0.48791610,3.81499571,3.31754507,4.75696121,1.32457829,4.15011308
0.12419355,0.11885189,2.03075026,1.36731432,0.53658926,3.81989441,3.34865520,6.73275987,1.07543008,2.04193284
0.13247312,0.12297126,2.06330379,1.39536769,0.59220319,3.81555984,3.35948110,8.22562074,-0.29680458,0.44615536
0.14075269,0.12780998,2.09493684,1.42340294,0.65390274,3.79975439,3.35462495,8.94580572,-2.54564522,-1.04917869
0.14903226,0.13358987,2.12624124,1.45141995,0.72294328,3.77710640,3.33817683,9.09628689,-4.52639189,-2.66061337
0.15731183,0.14041774,2.15809694,1.47942336,0.79345546,3.74301052,3.31075484,8.59647201,-5.67709987,-4.20894026
0.16559140,0.14776368,2.18958503,1.50713148,0.85374581,3.68867067,3.27269457,7.01210489,-6.78865833,-5.53011090
0.17387097,0.15504671,2.21950729,1.53421947,0.89636123,3.61545416,3.22379016,4.50385784,-8.79408657,-6.74664607
0.18215054,0.16271728,2.24877993,1.56070683,0.92045665,3.52739637,3.16257540,1.81036274,-11.50973282,-8.05569349
0.19043011,0.17137045,2.27869843,1.58671984,0.92698096,3.42148004,3.09105641,-0.53324994,-14.06043209,-9.18183596
0.19870968,0.18015699,2.30810868,1.61226354,0.91759602,3.29628406,3.01606133,-2.43277704,-16.14883471,-9.61073206
0.20698925,0.18790052,2.33524519,1.63725661,0.89731851,3.15903120,2.94228921,-3.93359767,-18.07357628,-9.43819180
0.21526882,0.19485943,2.36041399,1.66136005,0.87100895,3.01575017,2.86898728,-4.78856685,-19.57059273,-9.16924036
0.22354839,0.20174427,2.38457915,1.68426281,0.83909295,2.86522555,2.79577864,-4.64978715,-19.68872518,-8.83186081
0.23182796,0.20849181,2.40762162,1.70652263,0.80304022,2.71054119,2.72628367,-3.77517760,-18.26484617,-8.09060948
0.24010753,0.21479443,2.42908149,1.72889298,0.77043495,2.56375421,2.66480558,-2.94783851,-16.46945977,-6.86910325
0.24838710,0.22085781,2.44922654,1.75100625,0.74705203,2.43162921,2.61396826,-2.47903719,-15.19575157,-5.43311907
0.25666667,0.22703196,2.46856872,1.77215873,0.73099900,2.31036284,2.57368887,-1.97377003,-14.13517111,-4.27834546
0.26494624,0.23312477,2.48713931,1.79267560,0.71999330,2.19725752,2.53971904,-1.16114538,-12.87898757,-3.74299792
0.27322581,0.23878219,2.50478086,1.81325843,0.71674348,2.09562330,2.50631672,-0.09743870,-11.53606297,-3.53871758
0.28150538,0.24423932,2.52151735,1.83401342,0.72481223,2.00836495,2.47229289,1.23528967,-10.17999904,-3.33265862
0.28978495,0.24994910,2.53745952,1.85475792,0.74200674,1.93294871,2.43906298,2.68159827,-8.73611677,-3.53748082
0.29806452,0.25595043,2.55274379,1.87518825,0.76228890,1.86501468,2.40284245,3.65240893,-7.36577820,-4.66806781
0.30634409,0.26212909,2.56752748,1.89499974,0.78367025,1.80350675,2.35437775,3.74302857,-6.33190144,-6.57671451
0.31462366,0.26873396,2.58204146,1.91434772,0.80727269,1.74917855,2.28635403,3.19332812,-5.67710802,-8.91378503
0.32290322,0.27609653,2.59650153,1.93353972,0.82997797,1.70071258,2.19789807,2.37799910,-5.37177048,-11.45486742
0.33118279,0.28371659,2.61068271,1.95224333,0.84578576,1.65482330,2.09215947,1.32848839,-5.43669924,-13.90937695
0.33946236,0.29078738,2.62419179,1.96983273,0.85320526,1.60969889,1.97481997,0.14722222,-5.66985333,-15.84877952
0.34774193,0.29756453,2.63714474,1.98598477,0.85515212,1.56614590,1.85262550,-0.69405751,-5.65671626,-16.73642810
0.35602150,0.30476425,2.64988302,2.00056706,0.85257686,1.52355131,1.72888273,-0.90738836,-5.30261433,-16.31178697
0.36430107,0.31213983,2.66232972,2.01372420,0.84449274,1.47892964,1.60462607,-0.82033125,-5.00612933,-14.95021389
0.37258064,0.31900641,2.67422504,2.02576332,0.83283411,1.43151733,1.48439628,-1.05154771,-5.18371860,-13.31329827
0.38086021,0.32558017,2.68577530,2.03710680,0.81937606,1.38224365,1.37433906,-1.78591070,-5.82379737,-11.80799401
0.38913978,0.33250794,2.69738357,2.04817584,0.80211689,1.33057517,1.27597086,-2.53234645,-6.54640084,-10.70911634
0.39741935,0.33958134,2.70874566,2.05871755,0.78079398,1.27638457,1.18559808,-2.83315181,-7.02470180,-10.30552019
0.40569892,0.34614251,2.71920330,2.06814992,0.76083547,1.22152561,1.09754949,-2.71439046,-7.21587698,-10.57880169
0.41397849,0.35213804,2.72877526,2.07661346,0.74780406,1.16741038,1.00717822,-2.17864131,-7.12908482,-11.21287019
0.42225806,0.35787450,2.73787354,2.08463681,0.74108660,1.11336937,0.91173696,-1.07132188,-6.66702409,-11.82362562
0.43053763,0.36352876,2.74666460,2.09213739,0.73765757,1.05933865,0.81120812,0.36551873,-5.91879940,-12.20409154
0.43881720,0.36920424,2.75515621,2.09867225,0.73896773,1.00834584,0.70847352,1.53637073,-5.30268747,-12.52856063
0.44709677,0.37514104,2.76335083,2.10413435,0.74800399,0.96277084,0.60520684,2.14100261,-5.09435636,-12.96371329
0.45537634,0.38162748,2.77124383,2.10863617,0.76241754,0.92067296,0.49989425,2.19988307,-5.13612169,-13.25554945
0.46365591,0.38843520,2.77876578,2.11224811,0.77584113,0.87898430,0.39221731,1.67076633,-5.19632969,-13.12063329
0.47193548,0.39503144,2.78581549,2.11500619,0.78424494,0.83722926,0.28562171,0.68299021,-5.15843875,-12.66767812
0.48021505,0.40147162,2.79244697,2.11690144,0.78771283,0.79694484,0.18370924,-0.27826919,-4.91310552,-12.11041931
0.48849462,0.40818358,2.79881199,2.11789959,0.78611514,0.75935011,0.08725168,-0.87226422,-4.45678173,-11.49293897
0.49677419,0.41501011,2.80490946,2.11804449,0.77768345,0.72442673,-0.00438259,-1.25548649,-3.95358013,-10.82338553
0.50505376,0.42140867,2.81063887,2.11743649,0.76294071,0.69202373,-0.09124267,-1.79838040,-3.57150204,-10.12290041
0.51333333,0.42746468,2.81608156,2.11617004,0.74388756,0.66219473,-0.17262860,-2.58033516,-3.34775443,-9.39013678
0.52161290,0.43369854,2.82144177,2.11432902,0.72058930,0.63437636,-0.24911229,-3.26904031,-3.20467876,-8.77539748
0.52989247,0.43999922,2.82669720,2.11191913,0.69357411,0.60791072,-0.32392935,-3.56264633,-3.07537806,-8.59340477
0.53817204,0.44578923,2.83165844,2.10889254,0.66658768,0.58302488,-0.40079728,-3.52219714,-2.96285119,-8.97423223
0.54645161,0.45098558,2.83630745,2.10531163,0.64335697,0.56014987,-0.48173791,-3.24227845,-2.84601991,-9.75416793
0.55473118,0.45590279,2.84076269,2.10130951,0.62447525,0.53848613,-0.56775672,-2.52322943,-2.66799817,-10.70517130
0.56301075,0.46070757,2.84506865,2.09670504,0.61062526,0.51655673,-0.65967124,-1.23147990,-2.47568210,-11.67183099
0.57129032,0.46543755,2.84920791,2.09107408,0.60574477,0.49386614,-0.75842869,0.33288505,-2.44238785,-12.62255793
0.57956989,0.47018161,2.85320984,2.08433727,0.61351378,0.47022925,-0.86570387,1.79473413,-2.68956776,-13.61578017
0.58784946,0.47507349,2.85713872,2.07670908,0.63264572,0.44414778,-0.98351338,3.01248109,-3.20070531,-14.67323494
0.59612903,0.48020006,2.86092992,2.06824661,0.65843516,0.41339133,-1.11280192,3.85118101,-3.92519190,-15.80782032
0.60440860,0.48560766,2.86440850,2.05885447,0.68791194,0.37733821,-1.25037522,4.24259002,-4.73602835,-16.92748816
0.61268817,0.49138943,2.86750299,2.04835413,0.72124558,0.33776002,-1.38889042,4.39514677,-5.34828774,-17.58558139
0.62096774,0.49767091,2.87023636,2.03649951,0.75694474,0.29688362,-1.52054667,4.38458004,-5.51605489,-17.08094521
0.62924731,0.50432699,2.87254542,2.02312866,0.78880733,0.25625916,-1.63725911,3.86203411,-5.21885317,-14.87355874
0.63752688,0.51101159,2.87429245,2.00818207,0.81052668,0.21688213,-1.73350794,2.57411719,-4.68231556,-11.24033987
0.64580645,0.51778779,2.87557837,1.99204963,0.81941217,0.17841008,-1.81100128,0.72676924,-4.25716971,-7.39309945
0.65408602,0.52510159,2.87673225,1.97555145,0.81517302,0.13947609,-1.87437916,-1.25490996,-4.16320594,-4.56700113
0.66236559,0.53273530,2.87786139,1.95932723,0.79913089,0.09920107,-1.92688766,-2.99312882,-4.42448773,-3.35661761
0.67064516,0.53980314,2.87883567,1.94378406,0.77470838,0.05756688,-1.97249203,-4.26341364,-4.98099672,-3.81827516
0.67892473,0.54600959,2.87947340,1.92855470,0.74609676,0.01463830,-2.01726540,-4.87482707,-5.67406719,-5.61739121
0.68720430,0.55170723,2.87955574,1.91249512,0.71573387,-0.03051885,-2.06946093,-4.58078127,-6.22051435,-8.04192491
0.69548387,0.55712889,2.87902246,1.89518653,0.68571835,-0.07890606,-2.13701447,-3.39905700,-6.40171226,-10.32092152
0.70376344,0.56234509,2.87798759,1.87703321,0.66120857,-0.12956374,-2.22199160,-1.87269896,-6.23724260,-11.86043621
0.71204301,0.56747196,2.87655690,1.85825216,0.64739818,-0.18021413,-2.31857120,-0.60762440,-5.88216500,-12.24720198
0.72032258,0.57268182,2.87481436,1.83879908,0.64431748,-0.22849011,-2.41572325,0.29331186,-5.47466643,-11.65075435
0.72860215,0.57801227,2.87276578,1.81851712,0.64913385,-0.27225162,-2.50397560,1.01369306,-5.06170223,-10.62841101
0.73688172,0.58334425,2.87032898,1.79714559,0.66104167,-0.31143953,-2.58194350,1.72544751,-4.65541401,-9.42377897
0.74516129,0.58868185,2.86748087,1.77478888,0.68186966,-0.34879123,-2.65373321,2.67402680,-4.38744143,-8.17970855
0.75344086,0.59418635,2.86427696,1.75199203,0.71226030,-0.38737543,-2.72222150,3.92414328,-4.40790267,-7.20197013
0.76172043,0.59994957,2.86082344,1.72907252,0.74864487,-0.42887578,-2.78781947,5.06314155,-4.73267280,-6.71616507
0.77000000,0.60596957,2.85727804,1.70602653,0.78716388,-0.47425813,-2.85064464,5.62840394,-5.36119070,-6.83566305
0.77827957,0.61241611,2.85357324,1.68266572,0.82716761,-0.52504973,-2.91223397,5.59612837,-6.33588953,-7.55135086
0.78655914,0.61967671,2.84935114,1.65859551,0.86782707,-0.58263933,-2.97472771,5.16190647,-7.53484315,-8.39827433
0.79483871,0.62766867,2.84443422,1.63366264,0.90561737,-0.64639063,-3.03666834,4.36843149,-8.57863425,-8.50579798
0.80311828,0.63567294,2.83890920,1.60805227,0.93814426,-0.71488700,-3.09323515,3.33531839,-9.14218681,-7.42462428
0.81139785,0.64345010,2.83276359,1.58186105,0.96758584,-0.78782166,-3.14134588,2.59144787,-9.25272005,-5.51398824
0.81967742,0.65147765,2.82582644,1.55503690,0.99573163,-0.86377536,-3.17948095,2.55166449,-9.15138835,-3.44968692
0.82795699,0.65989180,2.81812447,1.52782195,1.01902490,-0.93905091,-3.20603448,2.82511342,-8.94904220,-1.73281726
0.83623656,0.66827357,2.80997894,1.50088602,1.03430233,-1.01190844,-3.22273110,2.58172820,-8.66855302,-0.64973376
0.84451613,0.67662778,2.80145893,1.47444051,1.04217837,-1.08503102,-3.23627297,1.41637538,-8.57126186,-0.53759709
0.85279570,0.68563821,2.79223111,1.44797390,1.04196891,-1.16158097,-3.25412295,-0.33547022,-8.96555759,-1.65296825
0.86107527,0.69531591,2.78221721,1.42122643,1.03233189,-1.24212000,-3.28164775,-2.02770903,-9.78820244,-3.79852321
0.86935484,0.70456544,2.77177433,1.39440898,1.01561522,-1.32726943,-3.32307715,-3.28198786,-10.72421128,-6.30810339
0.87763441,0.71282250,2.76092151,1.36743733,0.99624490,-1.41931720,-3.38009590,-3.90264871,-11.60520770,-8.39220209
0.88591398,0.72051313,2.74908761,1.33969977,0.97723339,-1.51852596,-3.44820045,-3.49378768,-12.45121011,-9.60897119
0.89419355,0.72800412,2.73602402,1.31085492,0.96259446,-1.62152793,-3.51799576,-1.69532039,-13.12311635,-9.73418465
0.90247312,0.73542054,2.72209510,1.28108263,0.96077645,-1.72606624,-3.58275873,1.09452274,-13.33492901,-8.64273091
0.91075269,0.74289200,2.70744619,1.25058320,0.97941188,-1.83340608,-3.64212852,3.88874724,-13.12638136,-6.78267160
0.91903226,0.75059452,2.69175597,1.21951079,1.01827510,-1.94317992,-3.69578742,6.14518963,-12.87623019,-4.96895122
0.92731183,0.75874230,2.67495253,1.18815239,1.07217913,-2.05089352,-3.73890817,7.86256829,-12.73927240,-3.58544238
0.93559140,0.76760746,2.65748032,1.15703230,1.13816717,-2.15417487,-3.76848754,9.14880198,-12.52460957,-2.54539042
0.94387097,0.77732622,2.63947814,1.12622724,1.21771239,-2.25588830,-3.78773777,10.34735821,-12.22436746,-1.84826003
0.95215054,0.78777619,2.62043392,1.09495724,1.31161576,-2.35917374,-3.80152148,11.68839328,-12.18529036,-1.56901480
0.96043011,0.79885331,2.60016537,1.06292459,1.41305022,-2.46576513,-3.81251486,12.66875874,-12.71584873,-1.49512288
0.96870967,0.81054211,2.57924224,1.03091322,1.51081219,-2.57797243,-3.82186681,12.57314315,-13.68177113,-1.24342450
0.97698924,0.82305838,2.55791439,0.99936004,1.59569929,-2.69621242,-3.82978043,11.12644940,-14.55064477,-0.59701090
0.98526881,0.83704769,2.53564166,0.96778737,1.66229682,-2.81684387,-3.83293237,8.41082194,-15.01787228,0.27923743
0.99354838,0.85257205,2.51199355,0.93589633,1.70928198,-2.93594269,-3.82509929,4.84353185,-15.17702104,1.17468190
1.00182795,0.86840839,2.48694975,0.90396665,1.73805487,-3.05413002,-3.80406346,1.20858214,-15.04489550,2.34343281
1.01010752,0.88359970,2.46065578,0.87222922,1.75316468,-3.17591932,-3.77210889,-1.42596433,-14.67692471,4.13005978
1.01838709,0.89807823,2.43350102,0.84066498,1.76032492,-3.30339573,-3.72927405,-2.12631729,-14.50357926,6.27463836
1.02666666,0.91197577,2.40574176,0.80937895,1.76309694,-3.43453488,-3.67429160,-0.78247475,-14.96183784,8.07031266
1.03494623,0.92561451,2.37727583,0.77881528,1.76780910,-3.56942268,-3.60976950,1.73175759,-16.14724469,9.08762620
1.04322580,0.93941484,2.34785446,0.74926178,1.78536652,-3.71368069,-3.54103456,4.29311683,-18.08525970,9.30166479
1.05150537,0.95396129,2.31700473,0.72055072,1.82105600,-3.87426872,-3.47244984,6.27775245,-20.63342752,8.76865794
1.05978494,0.96950830,2.28444445,0.69247143,1.86975297,-4.05337000,-3.40719646,7.26602653,-23.12287589,7.61585435
1.06806451,0.98548270,2.25041114,0.66485958,1.92342680,-4.24865729,-3.34824067,7.09601278,-24.99504029,6.21987756
1.07634408,1.00153379,2.21495495,0.63758435,1.97991311,-4.45977866,-3.29659490,6.53003505,-26.50570509,5.18118497
1.08462365,1.01814155,2.17748855,0.61058036,2.03986633,-4.68470089,-3.24977284,6.44501294,-27.87286135,4.85925955
1.09290322,1.03555460,2.13766559,0.58380542,2.09507148,-4.90512962,-3.20438901,6.43863242,-27.78459842,5.10927876
1.10118279,1.05312359,2.09598932,0.55725129,2.13445355,-5.09503713,-3.15854731,5.38869544,-24.43134833,5.62153530
1.10946236,1.07056067,2.05269346,0.53098568,2.15689109,-5.24001442,-3.11096341,3.05119641,-17.69411007,6.15924894
1.11774193,1.08889241,2.00695887,0.50526153,2.16539503,-5.33463298,-3.06119932,0.24133350,-9.04494382,6.53958610
1.12602150,1.10854074,1.95884757,0.48023581,2.16142590,-5.37741687,-3.01098654,-2.05975145,-0.43861179,6.53449304
1.13430107,1.12770074,1.91128605,0.45572215,2.14997429,-5.37454055,-2.96318593,-3.31886705,6.48869698,5.98669875
1.14258064,1.14502000,1.86655150,0.43155089,2.14172008,-5.34092548,-2.91931785,-3.17229845,10.46538167,5.06020338
1.15086021,1.16148887,1.82371725,0.40776341,2.14539250,-5.29266097,-2.87944182,-1.08130453,10.50149479,4.15471709
1.15913978,1.17817769,1.78158466,0.38435315,2.16307067,-5.24142837,-2.84266312,2.96643499,6.74661044,3.69185388
1.16741935,1.19518340,1.73980851,0.36106388,2.19963859,-5.20336770,-2.80656759,7.74222353,1.02417467,3.84092717
1.17569892,1.21262108,1.69805593,0.33772519,2.26585576,-5.20353260,-2.76905732,11.58745247,-4.46212277,4.36796725
1.18397849,1.23120373,1.65555603,0.31456777,2.36229543,-5.25208371,-2.72925234,13.90011587,-8.82927945,5.03247130
1.19225806,1.25142321,1.61181405,0.29185804,2.47178946,-5.32642132,-2.68330120,14.66825326,-11.28819385,6.04421038
1.20053763,1.27270979,1.56747467,0.26973395,2.57681683,-5.39587068,-2.62437225,13.69440334,-10.61447271,7.68361374
1.20881720,1.29458231,1.52291315,0.24822813,2.67575006,-5.45179832,-2.54831639,11.75523912,-7.62262036,9.74310500
1.21709677,1.31754291,1.47687476,0.22711002,2.77120445,-5.49524196,-2.45534265,10.06730842,-4.09278633,11.88152457
1.22537634,1.34185639,1.42874044,0.20631924,2.84102956,-5.49505001,-2.34656514,7.39611161,1.55283138,14.08415995
1.23365591,1.36628227,1.38121576,0.18656369,2.84980222,-5.40151526,-2.22235335,1.15199690,12.50305945,16.32906760
1.24193548,1.38995848,1.33644010,0.16847514,2.78775362,-5.20201959,-2.08660904,-8.46789224,27.64855578,18.07950255
1.25021505,1.41451576,1.29200677,0.15182947,2.71764311,-4.97310144,-1.93691854,-19.66038266,44.64279295,19.54562840
1.25849462,1.44074285,1.24649654,0.13635347,2.64753261,-4.74418329,-1.78722803,-30.85287309,61.63703012,21.01175426
1.26677419,1.46426114,1.20588549,0.12229648,2.57742210,-4.51526514,-1.63753753,-42.04536351,78.63126729,22.47788012
1.27505376,1.48116924,1.17545372,0.10981100,2.50731159,-4.28634699,-1.48784702,-53.23785393,95.62550446,23.94400598
1.28333333,1.49399884,1.15122447,0.09821197,2.43720109,-4.05742884,-1.33815652,-64.43034436,112.61974163,25.41013183
